rank,country,qty_tonnes,avg_price_usd,loss_percent,value_usd,projection_10,projection_20
1,USA,389694460,221,20,86122475660,8612247566,17224495132
2,China,288842300,316,15,91274166800,9127416680,18254833360
3,Brazil,131950246,261,12,34439014206,3443901421,6887802841
4,Argentina,41409448,173,40,7163834504,716383450,1432766901
5,India,38085256,300,40,11425576923,1142557692,2285115385
6,Ukraine,31030440,218,16,6764635920,676463592,1352927184
7,Mexico,27549918,290,25,7989476084,798947608,1597895217
8,Indonesia,19985653,373,20,7454648569,745464857,1490929714
9,Russia,16600000,215,16,3569000000,356900000,713800000
10,South Africa,16430000,185,30,3039550000,303955000,607910000
11,Canada,15075930,228,13,3437312040,343731204,687462408
12,France,12834600,189,30,2425739400,242573940,485147880
13,Nigeria,11053000,383,27,4233299000,423329900,846659800
14,Ethiopia,10000000,256,30,2560000000,256000000,512000000
15,Pakistan,9847224,15,60,147708360,14770836,29541672
